Word,Frequency,PMI,R_Entropy,L_Entropy
安,233,80,6.044306744325604,4.6737505691451595
惊,233,80,4.3829469868179425,5.665310535080673
沸,233,80,3.9058746992747353,3.9027934377673072
部,232,80,4.910654617068276,3.539193920678286
言,231,80,5.449545398168765,4.835237036483131
乱,231,80,4.509586540071596,3.0719141076005103
女,231,80,4.083186844499172,4.924677874305746
左,231,80,3.5418374445627023,5.431480051261676
鱼,229,80,5.143424251158157,4.761685139397487
滑,229,80,3.8404228254394908,4.9361715300382105
短,228,80,2.4348988654835986,5.422549095450136
厥,227,80,4.083232204602566,4.828353957558506
状,226,80,4.617481795998516,5.0612667081305
母,224,80,5.563575092583862,3.437419546757482
右,224,80,4.941729474137576,2.977293011362057
立,224,80,4.702916247834477,5.019962268486265
弱,223,80,5.271265681230431,4.713411568069212
曲,221,80,4.8544249247665565,5.569050430346176
涩,221,80,4.6206676820118435,5.010916317400016
山,221,80,3.829202108621949,3.747042058846865
柏,221,80,2.808946578611895,2.2154054621191164
土,220,80,4.932236686368552,5.423970364148046
调,220,80,4.671025763575524,4.684729452992256
尺,219,80,3.747392711375986,3.996806243948984
闭,218,80,3.7880872071661664,4.805378587904712
夫,212,80,6.609006398462596,2.848437073217871
屎,212,80,4.981730392032841,4.565358019357151
益,212,80,4.576306997981242,5.0485994883135
空,211,80,2.615821075584097,4.817260480778472
桃,210,80,2.607187585733034,4.8283056658737555
旦,207,80,4.920515834534246,2.9376279788276847
候,206,80,5.41816473160616,4.694071049617452
除,206,80,5.272019104824132,5.411501082421491
胶,205,80,4.247602106577843,2.5219914626883537
湿,202,80,5.521900806266511,5.152479880917848
变,201,80,4.7827584165902985,5.999541600573007
忌,200,80,5.9747625884748015,5.36256233911972
力,198,80,5.773693119087521,3.929959114405492
舌,198,80,4.7441278280820605,5.533722838510945
冲,197,80,4.702318814053204,3.5997262787017377
断,196,80,5.230374447448743,4.384598378838721
疼,195,80,2.7541370932182154,5.170465891845316
陷,194,80,2.5309483792454834,4.949988559925348
塞,189,80,4.714567382701687,4.826951783397869
善,188,80,5.603596245647913,5.628259436093165
疟,188,80,5.457300529721385,4.356477530620186
疽,188,80,4.450551668966184,2.153487413633991
豉,188,80,4.218239935055826,3.989705799123123
齿,187,80,5.571352692172913,5.298456007338841
慎,187,80,4.188772090678767,4.753834834748379
好,186,80,5.917421779441435,5.862166443313689
卒,186,80,5.289010889646696,4.987243888651036
转,185,80,5.219397812653936,5.921834566293515
闷,185,80,4.705893682052525,4.21611355142459
淋,185,80,3.4546724697726474,4.605706580936078
医,184,80,5.1701658561964114,5.429569984838398
孔,184,80,3.888159111268798,5.485951957799294
养,184,80,3.815234743441347,4.4034914488305406
喜,183,80,5.64057399549054,5.743986836517783
聚,182,80,5.145261261825466,2.5112231600372628
脊,182,80,4.889136524430374,3.932966356280148
每,182,80,2.933701523893395,3.5465935642949384
喉,181,80,4.078109557462994,4.271132247249551
验,181,80,3.6901975535331433,3.3223715600365167
脓,181,80,3.497304696352159,5.341267912208186
裹,180,80,5.076117235405016,3.1813875450434406
蛇,180,80,3.609229635785546,4.920279571296276
泉,179,80,4.248028152529932,3.1768531830409454
木,178,80,4.459536549649414,4.591247807813622
喘,178,80,4.376100009570519,5.336817811598854
遍,178,80,4.161087056242729,3.8688191006235213
意,176,80,5.54364735080419,4.538532802692543
正,176,80,5.347560836863409,5.145060119340059
酸,176,80,4.831241562881706,4.953885152481539
肘,175,80,2.5679222923073453,4.8536340223425185
应,174,80,5.622085935282992,5.193807565487293
千,171,80,2.2393543230356734,4.931954404573749
别,170,80,5.3464662502500095,5.347117629970647
同,170,80,4.964146029356711,5.0718834529574695
沥,170,80,4.0630131376249565,2.457761282359166
渐,169,80,4.751411055268439,4.5893774902177205
痫,169,80,4.442981886714766,4.264476308403349
何,169,80,3.677711813306781,4.544554047016674
绵,167,80,3.009856974669387,3.228165951440041
失,166,80,4.864166739718376,6.3004398246861735
初,166,80,4.674036150071499,5.195312599603761
